Board Number,Inversions,Algorithm,Solved,Total States Viewed,Processing Time
29,10,IDDFS,True,14714,0.412232
29,10,BFS,True,14714,0.711479
29,10,ASMAN,True,126,0.005422
29,10,ASEUC,True,399,0.013774
29,10,ASCHEB,True,539,0.021738
29,10,ASLINCON,True,102,0.003014
30,10,IDDFS,True,21355,0.563804
30,10,BFS,True,21355,1.038777
30,10,ASMAN,True,139,0.003539
30,10,ASEUC,True,435,0.014731
30,10,ASCHEB,True,550,0.020768
30,10,ASLINCON,True,129,0.004868
31,12,IDDFS,True,733574,20.234008
31,12,BFS,False,557936,30.301685
31,12,ASMAN,True,294,0.013207
31,12,ASEUC,True,1691,0.15798
31,12,ASCHEB,True,2436,0.226743
31,12,ASLINCON,True,312,0.014804
32,6,IDDFS,True,182,0.005399
32,6,BFS,True,182,0.00749
32,6,ASMAN,True,25,0.00104
32,6,ASEUC,True,34,0.001773
32,6,ASCHEB,True,52,0.000616
32,6,ASLINCON,True,25,0.002073
33,4,IDDFS,True,42,0.002664
33,4,BFS,True,42,0.00265
33,4,ASMAN,True,15,0.0
33,4,ASEUC,True,21,0.001033
33,4,ASCHEB,True,23,0.001232
33,4,ASLINCON,True,15,0.000511
34,8,IDDFS,True,132671,3.52522
34,8,BFS,True,132671,4.921721
34,8,ASMAN,True,116,0.004388
34,8,ASEUC,True,688,0.03272
34,8,ASCHEB,True,983,0.049965
34,8,ASLINCON,True,172,0.006826
35,6,IDDFS,True,2484,0.075001
35,6,BFS,True,2484,0.098334
35,6,ASMAN,True,58,0.001601
35,6,ASEUC,True,152,0.006088
35,6,ASCHEB,True,189,0.007259
35,6,ASLINCON,True,51,0.002035
36,2,IDDFS,True,2,0.0
36,2,BFS,True,2,0.0
36,2,ASMAN,True,2,0.0
36,2,ASEUC,True,2,0.0
36,2,ASCHEB,True,2,0.0
36,2,ASLINCON,True,2,0.0
37,6,IDDFS,True,1055,0.033269
37,6,BFS,True,1055,0.043751
37,6,ASMAN,True,50,0.001924
37,6,ASEUC,True,104,0.002644
37,6,ASCHEB,True,131,0.004545
37,6,ASLINCON,True,29,0.001067
38,8,IDDFS,True,412,0.013603
38,8,BFS,True,412,0.019503
38,8,ASMAN,True,26,0.0
38,8,ASEUC,True,50,0.000987
38,8,ASCHEB,True,60,0.002084
38,8,ASLINCON,True,24,0.001822
39,12,IDDFS,True,716943,19.31669
39,12,BFS,False,576288,30.000863
39,12,ASMAN,True,404,0.020453
39,12,ASEUC,True,1809,0.143815
39,12,ASCHEB,True,2583,0.245606
39,12,ASLINCON,True,218,0.012595
40,16,IDDFS,False,1120379,30.000813
40,16,BFS,False,591628,30.000159
40,16,ASMAN,True,20475,11.905464
40,16,ASEUC,False,28888,30.002433
40,16,ASCHEB,False,29146,30.000816
40,16,ASLINCON,True,5378,0.948079
41,6,IDDFS,True,1011,0.028131
41,6,BFS,True,1011,0.043728
41,6,ASMAN,True,41,0.001082
41,6,ASEUC,True,68,0.001565
41,6,ASCHEB,True,82,0.002532
41,6,ASLINCON,True,31,0.000995
42,10,IDDFS,True,18662,0.496613
42,10,BFS,True,18662,0.709613
42,10,ASMAN,True,114,0.002803
42,10,ASEUC,True,397,0.014587
42,10,ASCHEB,True,545,0.021766
42,10,ASLINCON,True,88,0.003042
43,8,IDDFS,True,316,0.009421
43,8,BFS,True,316,0.014933
43,8,ASMAN,True,24,0.000997
43,8,ASEUC,True,52,0.001992
43,8,ASCHEB,True,66,0.001994
43,8,ASLINCON,True,29,0.0
44,12,IDDFS,True,2204,0.068773
44,12,BFS,True,2204,0.097543
44,12,ASMAN,True,57,0.000996
44,12,ASEUC,True,136,0.00399
44,12,ASCHEB,True,186,0.006494
44,12,ASLINCON,True,43,0.001061
45,4,IDDFS,True,4331,0.128843
45,4,BFS,True,4331,0.190559
45,4,ASMAN,True,52,0.001014
45,4,ASEUC,True,148,0.005502
45,4,ASCHEB,True,210,0.007562
45,4,ASLINCON,True,51,0.002027
46,12,IDDFS,True,884102,23.595744
46,12,BFS,False,580770,30.000982
46,12,ASMAN,True,522,0.027602
46,12,ASEUC,True,1919,0.156366
46,12,ASCHEB,True,2548,0.241151
46,12,ASLINCON,True,208,0.011074
47,2,IDDFS,True,10,0.0
47,2,BFS,True,10,0.000991
47,2,ASMAN,True,7,0.0
47,2,ASEUC,True,7,0.001144
47,2,ASCHEB,True,7,0.0
47,2,ASLINCON,True,7,0.0
48,4,IDDFS,True,22,0.000504
48,4,BFS,True,22,0.001813
48,4,ASMAN,True,9,0.000509
48,4,ASEUC,True,9,0.0
48,4,ASCHEB,True,13,0.001302
48,4,ASLINCON,True,9,0.0
49,8,IDDFS,True,283,0.010267
49,8,BFS,True,283,0.0129
49,8,ASMAN,True,28,0.0
49,8,ASEUC,True,52,0.001456
49,8,ASCHEB,True,68,0.002027
49,8,ASLINCON,True,16,0.0
50,6,IDDFS,False,1112161,30.000947
50,6,BFS,False,582848,30.142151
50,6,ASMAN,True,670,0.029125
50,6,ASEUC,True,2646,0.263449
50,6,ASCHEB,True,3741,0.476756
50,6,ASLINCON,True,253,0.008018
51,4,IDDFS,True,207,0.005792
51,4,BFS,True,207,0.008298
51,4,ASMAN,True,19,0.000996
51,4,ASEUC,True,37,0.002006
51,4,ASCHEB,True,43,0.002257
51,4,ASLINCON,True,19,0.0
52,4,IDDFS,True,59,0.001311
52,4,BFS,True,59,0.002521
52,4,ASMAN,True,11,0.0
52,4,ASEUC,True,18,0.001452
52,4,ASCHEB,True,20,0.0
52,4,ASLINCON,True,11,0.001557
53,10,IDDFS,False,1124354,30.000235
53,10,BFS,False,603679,30.000348
53,10,ASMAN,True,1439,0.088302
53,10,ASEUC,True,5316,0.899588
53,10,ASCHEB,True,6903,1.423978
53,10,ASLINCON,True,448,0.025699
54,4,IDDFS,True,22,0.0
54,4,BFS,True,22,0.0
54,4,ASMAN,True,9,0.0
54,4,ASEUC,True,9,0.0
54,4,ASCHEB,True,13,0.000541
54,4,ASLINCON,True,9,0.0
55,8,IDDFS,True,35842,0.983455
55,8,BFS,True,35842,1.637048
55,8,ASMAN,True,130,0.008533
55,8,ASEUC,True,492,0.017602
55,8,ASCHEB,True,673,0.027534
55,8,ASLINCON,True,136,0.010471
56,8,IDDFS,True,17642,0.480776
56,8,BFS,True,17642,0.661658
56,8,ASMAN,True,136,0.003462
56,8,ASEUC,True,415,0.015887
56,8,ASCHEB,True,555,0.021222
56,8,ASLINCON,True,129,0.005121
57,4,IDDFS,True,159,0.004598
57,4,BFS,True,159,0.005662
57,4,ASMAN,True,22,0.0
57,4,ASEUC,True,37,0.001971
57,4,ASCHEB,True,51,0.001303
57,4,ASLINCON,True,19,0.001215
58,8,IDDFS,True,35842,0.972023
58,8,BFS,True,35842,1.361267
58,8,ASMAN,True,133,0.003739
58,8,ASEUC,True,492,0.023367
58,8,ASCHEB,True,673,0.028766
58,8,ASLINCON,True,131,0.005033
59,8,IDDFS,True,1270,0.035788
59,8,BFS,True,1270,0.051472
59,8,ASMAN,True,58,0.003004
59,8,ASEUC,True,108,0.004526
59,8,ASCHEB,True,130,0.003048
59,8,ASLINCON,True,35,0.001484
60,4,IDDFS,True,4331,0.117897
60,4,BFS,True,4331,0.167684
60,4,ASMAN,True,55,0.001038
60,4,ASEUC,True,148,0.005198
60,4,ASCHEB,True,210,0.006553
60,4,ASLINCON,True,43,0.000982
61,16,IDDFS,False,1126812,30.000385
61,16,BFS,False,576283,30.000332
61,16,ASMAN,True,1578,0.103387
61,16,ASEUC,True,11259,3.605425
61,16,ASCHEB,True,17357,8.84585
61,16,ASLINCON,True,1222,0.07871
62,14,IDDFS,True,585921,15.635773
62,14,BFS,False,567363,30.00045
62,14,ASMAN,True,369,0.01941
62,14,ASEUC,True,1795,0.149218
62,14,ASCHEB,True,2483,0.232834
62,14,ASLINCON,True,256,0.010016
63,4,IDDFS,True,213,0.005781
63,4,BFS,True,213,0.011603
63,4,ASMAN,True,24,0.0
63,4,ASEUC,True,33,0.000506
63,4,ASCHEB,True,49,0.001
63,4,ASLINCON,True,17,0.0
64,14,IDDFS,True,883919,23.730124
64,14,BFS,False,623786,31.862807
64,14,ASMAN,True,338,0.010761
64,14,ASEUC,True,1738,0.130461
64,14,ASCHEB,True,2534,0.23522
64,14,ASLINCON,True,180,0.007368
65,8,IDDFS,False,1101985,30.000462
65,8,BFS,False,608813,30.222883
65,8,ASMAN,True,26936,23.135117
65,8,ASEUC,False,28674,30.003765
65,8,ASCHEB,False,29042,30.001836
65,8,ASLINCON,True,3740,0.497937
66,6,IDDFS,False,1135036,30.000056
66,6,BFS,False,617088,30.00004
66,6,ASMAN,True,2667,0.257019
66,6,ASEUC,True,12437,4.438504
66,6,ASCHEB,True,18006,9.514565
66,6,ASLINCON,True,1190,0.071966
67,8,IDDFS,True,20251,0.542879
67,8,BFS,True,20251,0.914477
67,8,ASMAN,True,134,0.003292
67,8,ASEUC,True,425,0.015247
67,8,ASCHEB,True,544,0.020564
67,8,ASLINCON,True,100,0.004836
68,8,IDDFS,True,1687,0.048289
68,8,BFS,True,1687,0.069199
68,8,ASMAN,True,50,0.002193
68,8,ASEUC,True,110,0.004386
68,8,ASCHEB,True,142,0.006024
68,8,ASLINCON,True,43,0.001056
69,14,IDDFS,False,993798,30.000408
69,14,BFS,False,455965,30.65972
69,14,ASMAN,True,14082,6.90959
69,14,ASEUC,False,23937,30.003583
69,14,ASCHEB,False,24091,30.000624
69,14,ASLINCON,True,6818,1.569609
70,10,IDDFS,True,120476,3.493794
70,10,BFS,True,120476,5.342364
70,10,ASMAN,True,224,0.006921
70,10,ASEUC,True,1008,0.05503
70,10,ASCHEB,True,1384,0.086994
70,10,ASLINCON,True,215,0.006896
71,10,IDDFS,False,1026575,30.0001
71,10,BFS,False,498124,31.241048
71,10,ASMAN,True,3838,0.531028
71,10,ASEUC,True,13987,7.095118
71,10,ASCHEB,True,18973,16.37403
71,10,ASLINCON,True,1111,0.074674
72,8,IDDFS,False,1037986,30.000552
72,8,BFS,False,548103,30.00028
72,8,ASMAN,True,8087,2.097079
72,8,ASEUC,False,23617,30.001436
